1.0E+08: 1.7798E+04
1.1E+08: 1.5480E+04
1.1E+08: 1.3465E+04
1.2E+08: 1.1712E+04
1.3E+08: 1.0187E+04
1.4E+08: 8.8613E+03
1.5E+08: 7.7080E+03
1.6E+08: 6.7049E+03
1.7E+08: 5.8325E+03
1.9E+08: 5.0737E+03
2.0E+08: 4.4137E+03
2.2E+08: 3.8397E+03
2.3E+08: 3.3405E+03
2.5E+08: 2.9063E+03
2.7E+08: 2.5286E+03
2.8E+08: 2.2002E+03
3.1E+08: 1.9145E+03
3.3E+08: 1.6660E+03
3.5E+08: 1.4499E+03
3.8E+08: 1.2619E+03
4.0E+08: 1.0984E+03
4.3E+08: 9.5606E+02
4.6E+08: 8.3220E+02
5.0E+08: 7.2433E+02
5.3E+08: 6.3028E+02
5.7E+08: 5.4821E+02
6.1E+08: 4.7646E+02
6.6E+08: 4.1363E+02
7.1E+08: 3.5852E+02
7.6E+08: 3.1011E+02
8.1E+08: 2.6755E+02
8.7E+08: 2.3016E+02
9.3E+08: 1.9735E+02
1.0E+09: 1.6866E+02
1.1E+09: 1.4368E+02
1.1E+09: 1.2204E+02
1.2E+09: 1.0339E+02
1.3E+09: 8.7434E+01
1.4E+09: 7.3842E+01
1.5E+09: 6.2323E+01
1.6E+09: 5.2600E+01
1.7E+09: 4.4416E+01
1.9E+09: 3.7542E+01
2.0E+09: 3.1773E+01
2.2E+09: 2.6933E+01
2.3E+09: 2.2869E+01
2.5E+09: 1.9454E+01
2.7E+09: 1.6579E+01
2.8E+09: 1.4155E+01
3.1E+09: 1.2106E+01
3.3E+09: 1.0371E+01
3.5E+09: 8.8988E+00
3.8E+09: 7.6463E+00
4.0E+09: 6.5786E+00
4.3E+09: 5.6668E+00
4.6E+09: 4.8865E+00
5.0E+09: 4.2176E+00
5.3E+09: 3.6433E+00
5.7E+09: 3.1495E+00
6.1E+09: 2.7244E+00
6.6E+09: 2.3579E+00
7.1E+09: 2.0417E+00
7.6E+09: 1.7685E+00
8.1E+09: 1.5324E+00
8.7E+09: 1.3281E+00
9.3E+09: 1.1513E+00
1.0E+10: 9.9806E-01
1.1E+10: 8.6529E-01
1.1E+10: 7.5018E-01
1.2E+10: 6.5033E-01
1.3E+10: 5.6369E-01
1.4E+10: 4.8849E-01
1.5E+10: 4.2320E-01
1.6E+10: 3.6651E-01
1.7E+10: 3.1726E-01
1.9E+10: 2.7449E-01
2.0E+10: 2.3732E-01
2.2E+10: 2.0502E-01
2.3E+10: 1.7695E-01
2.5E+10: 1.5256E-01
2.7E+10: 1.3135E-01
2.8E+10: 1.1292E-01
3.1E+10: 9.6890E-02
3.3E+10: 8.2957E-02
3.5E+10: 7.0843E-02
3.8E+10: 6.0309E-02
4.0E+10: 5.1151E-02
4.3E+10: 4.3186E-02
4.6E+10: 3.6261E-02
5.0E+10: 3.0239E-02
5.3E+10: 2.5001E-02
5.7E+10: 2.0447E-02
6.1E+10: 1.6486E-02
6.6E+10: 1.3042E-02
7.1E+10: 1.0046E-02
7.6E+10: 7.4407E-03
8.1E+10: 5.1749E-03
8.7E+10: 3.2043E-03
9.3E+10: 1.4905E-03
1.0E+11: 0.0000E+00
